epoch,l2_error,pde_residual,bc_ic_error
1,0.107411,0.0768,0.057735
2,0.105068,0.087619,0.080717
3,0.102949,0.113863,0.087104
4,0.101031,0.075992,0.061726
5,0.099295,0.071282,0.050573
6,0.097725,0.098039,0.040387
7,0.096304,0.078902,0.069815
8,0.095019,0.097581,0.04848
9,0.093855,0.098882,0.075527
10,0.092803,0.065324,0.074512
11,0.09185,0.10277,0.052366
12,0.090988,0.07218,0.079943
13,0.090209,0.081364,0.040267
14,0.089503,0.067846,0.073728
15,0.088865,0.094395,0.071408
16,0.088287,0.100456,0.058986
17,0.087764,0.112678,0.051717
18,0.087291,0.090017,0.071116
19,0.086863,0.09304,0.072171
20,0.086476,0.09049,0.065055
21,0.086126,0.062656,0.044264
22,0.085809,0.074965,0.037747
23,0.085522,0.071811,0.038528
24,0.085262,0.073904,0.061205
25,0.085027,0.078132,0.049749
26,0.084815,0.070032,0.045248
27,0.084623,0.106793,0.061268
28,0.084449,0.089978,0.041006
29,0.084291,0.095879,0.040603
30,0.084149,0.078063,0.075293
31,0.08402,0.091078,0.057005
32,0.083903,0.093197,0.06892
33,0.083798,0.097675,0.043116
34,0.083702,0.060204,0.046683
35,0.083616,0.071963,0.042267
36,0.083538,0.105737,0.07002
37,0.083467,0.074186,0.06074
38,0.083403,0.07818,0.071499
39,0.083345,0.081287,0.044376
40,0.083293,0.07063,0.056696
41,0.083245,0.071395,0.05763
42,0.083202,0.103062,0.049896
43,0.083163,0.069158,0.074745
44,0.083128,0.083603,0.03703
45,0.083096,0.060517,0.037794
46,0.083068,0.08942,0.066125
47,0.083042,0.079163,0.035854
48,0.083018,0.077122,0.074555
49,0.082997,0.084447,0.073497
50,0.082978,0.10094,0.033667
51,0.08296,0.093947,0.061461
52,0.082944,0.084784,0.044244
53,0.08293,0.089944,0.037798
54,0.082917,0.079672,0.051978
55,0.082905,0.10548,0.069469
56,0.082895,0.071127,0.053906
57,0.082885,0.066904,0.070976
58,0.082877,0.101301,0.045518
59,0.082869,0.089778,0.05838
60,0.082862,0.065602,0.064736
