epoch,l2_error,pde_residual,bc_ic_error
1,0.106992,0.0765,0.05751
2,0.104271,0.086954,0.080105
3,0.101808,0.112602,0.086139
4,0.09958,0.074901,0.06084
5,0.097564,0.070039,0.049691
6,0.09574,0.096047,0.039566
7,0.094089,0.077088,0.068209
8,0.092596,0.095092,0.047244
9,0.091244,0.096131,0.073426
10,0.090021,0.063366,0.072279
11,0.088915,0.099485,0.050693
12,0.087914,0.069741,0.077242
13,0.087008,0.078477,0.038838
14,0.086188,0.065333,0.070997
15,0.085446,0.090764,0.068662
16,0.084775,0.096461,0.05664
17,0.084168,0.108061,0.049598
18,0.083619,0.08623,0.068124
19,0.083121,0.089032,0.069062
20,0.082672,0.086509,0.062193
21,0.082265,0.059847,0.04228
22,0.081896,0.071547,0.036026
23,0.081563,0.068486,0.036744
24,0.081261,0.070436,0.058333
25,0.080989,0.07442,0.047386
26,0.080742,0.066669,0.043075
27,0.080518,0.101614,0.058297
28,0.080316,0.085575,0.038999
29,0.080133,0.09115,0.0386
30,0.079968,0.074184,0.071552
31,0.079818,0.086523,0.054155
32,0.079683,0.088509,0.065453
33,0.07956,0.092735,0.040936
34,0.079449,0.057145,0.044311
35,0.079349,0.068291,0.04011
36,0.079258,0.10032,0.066433
37,0.079176,0.070372,0.057618
38,0.079101,0.074148,0.067811
39,0.079034,0.077083,0.042081
40,0.078973,0.066967,0.053756
41,0.078918,0.067684,0.054634
42,0.078868,0.097694,0.047297
43,0.078823,0.065549,0.070844
44,0.078782,0.079233,0.035094
45,0.078745,0.057348,0.035815
46,0.078712,0.084731,0.062658
47,0.078682,0.075007,0.033972
48,0.078654,0.073068,0.070636
49,0.07863,0.080003,0.06963
50,0.078607,0.095623,0.031894
51,0.078587,0.088994,0.058222
52,0.078569,0.080311,0.041909
53,0.078552,0.085196,0.035802
54,0.078537,0.075463,0.049232
55,0.078523,0.099905,0.065797
56,0.078511,0.067365,0.051055
57,0.0785,0.063365,0.067221
58,0.07849,0.095939,0.043108
59,0.078481,0.085024,0.055289
60,0.078473,0.062127,0.061307
